,google_trend_score,news_mentions,news_sentiment,trend_norm,news_norm,sentiment_norm,combined_score
smartwatch,18.0,20.0,0.10008868446368449,0.3103448275862069,1.0,0.5500443422318423,0.5187135478865005
wireless earbuds,0.0,20.0,0.15673611111111113,0.0,1.0,0.5783680555555556,0.33675520833333333
laptop,57.0,20.0,0.3263600288600288,0.9827586206896551,1.0,0.6631800144300144,0.9391321745782952
gaming chair,14.0,20.0,0.18984126984126987,0.2413793103448276,1.0,0.594920634920635,0.4840656814449918
robot vacuum,16.0,20.0,0.1342559523809524,0.27586206896551724,1.0,0.5671279761904762,0.5005864378078818
fitness tracker,24.0,20.0,0.09468479437229438,0.41379310344827586,1.0,0.5473423971861472,0.5803772216468875
tablet,58.0,20.0,0.18806818181818183,1.0,1.0,0.5940340909090909,0.9391051136363636
camera,38.0,20.0,0.2344669913419913,0.6551724137931034,1.0,0.6172334956709956,0.7356884726265113
